id,velocity,batteryLevel,orientation,timestamp
1,1.3,99.9935,73.11603,1764725345858
5,1.3,99.9935,71.749176,1764725345858
3,1.3,99.9935,90.0,1764725345858
4,1.3,99.9935,294.84753,1764725345858
10,1.3,99.9935,162.66876,1764725345858
7,1.3,99.9935,258.42566,1764725345858
6,1.3,99.9935,224.47687,1764725345858
8,1.3,99.9935,87.329285,1764725345858
9,1.3,99.9935,270.0,1764725345858
2,1.3,99.9935,225.81567,1764725345858
1,1.5999999,99.98655,73.11609,1764725346363
5,1.5999999,99.98655,71.74924,1764725346363
3,1.5999999,99.98655,90.0,1764725346363
4,1.5999999,99.98655,294.8474,1764725346363
10,1.5999999,99.98655,162.67029,1764725346363
7,1.5999999,99.98655,258.4256,1764725346363
6,1.5999999,99.98655,224.47571,1764725346363
8,1.5999999,99.98655,87.32941,1764725346363
9,1.5999999,99.98655,270.0,1764725346363
2,1.5999999,99.98655,225.81616,1764725346363
1,1.8999999,99.97915,73.11603,1764725346864
5,1.8999999,99.97915,71.74881,1764725346864
3,1.8999999,99.97915,90.0,1764725346864
4,1.8999999,99.97915,294.84784,1764725346864
10,1.8999999,99.97915,162.669,1764725346864
7,1.8999999,99.97915,258.42554,1764725346864
6,1.8999999,99.97915,224.47461,1764725346864
8,1.8999999,99.97915,87.32938,1764725346864
9,1.8999999,99.97915,270.0,1764725346864
2,1.8999999,99.97915,225.81653,1764725346864
1,2.1999998,99.9713,73.11606,1764725347365
5,2.1999998,99.9713,71.74887,1764725347365
3,2.1999998,99.9713,90.0,1764725347365
4,2.1999998,99.9713,294.8473,1764725347365
10,2.1999998,99.9713,162.67004,1764725347365
7,2.1999998,99.9713,258.42572,1764725347365
6,2.1999998,99.9713,224.47406,1764725347365
8,2.1999998,99.9713,87.329346,1764725347365
9,2.1999998,99.9713,270.0,1764725347365
2,2.1999998,99.9713,225.81616,1764725347365
1,2.4999998,99.963,73.116,1764725347866
5,2.4999998,99.963,71.7486,1764725347866
3,2.4999998,99.963,90.0,1764725347866
4,2.4999998,99.963,294.8473,1764725347866
10,2.4999998,99.963,162.66907,1764725347866
7,2.4999998,99.963,258.42566,1764725347866
6,2.4999998,99.963,224.47491,1764725347866
8,2.4999998,99.963,87.329346,1764725347866
9,2.4999998,99.963,270.0,1764725347866
2,2.4999998,99.963,225.8164,1764725347866
1,2.7999997,99.95425,73.11606,1764725348367
5,2.7999997,99.95425,71.74869,1764725348367
3,2.7999997,99.95425,90.0,1764725348367
4,2.7999997,99.95425,294.84753,1764725348367
10,2.7999997,99.95425,162.66992,1764725348367
7,2.7999997,99.95425,258.42566,1764725348367
6,2.7999997,99.95425,224.47449,1764725348367
8,2.7999997,99.95425,87.329346,1764725348367
9,2.7999997,99.95425,270.0,1764725348367
2,2.7999997,99.95425,225.81659,1764725348367
